detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,
SIFT,121.343,2159,BRISK,21.9079,MAT_BF,SEL_KNN,236.816,715,8.3988,52,9.36821,
FAST,2.78212,5275,FREAK,82.7776,
FAST,2.96129,5291,FREAK,84.7421,MAT_BF,SEL_KNN,1269.38,1198,12.5156,68,11.9423,
FAST,2.75546,5202,FREAK,82.036,MAT_BF,SEL_KNN,1262.66,1226,12.6142,86,13.1478,
FAST,2.39992,5090,FREAK,84.2784,MAT_BF,SEL_KNN,1225.81,1192,14.091,77,12.1418,
FAST,2.60375,5118,FREAK,82.7043,MAT_BF,SEL_KNN,1215.28,1168,16.6894,89,13.1792,
FAST,3.51697,5180,FREAK,87.7792,MAT_BF,SEL_KNN,1203.01,1236,15.7466,64,12.2073,
FAST,3.50052,5192,FREAK,83.0107,MAT_BF,SEL_KNN,1226.64,1121,12.7834,79,11.8781,
FAST,3.01323,5177,FREAK,84.116,MAT_BF,SEL_KNN,1192.25,1073,11.9844,94,13.1121,
FAST,2.638,5176,FREAK,83.3646,MAT_BF,SEL_KNN,1194.6,1213,13.1241,82,12.7075,
FAST,2.93346,5225,FREAK,83.2316,MAT_BF,SEL_KNN,1212.81,1124,13.0241,105,13.2171,
FAST,3.02399,5331,FREAK,81.4237,MAT_BF,SEL_KNN,1262.6,1085,11.1746,105,13.5653,
FAST,2.74948,5351,FREAK,86.2426,MAT_BF,SEL_KNN,1300.32,1236,12.8086,105,12.1019,
FAST,3.02141,5244,FREAK,84.9125,MAT_BF,SEL_KNN,1273.12,1204,8.95978,108,12.4316,
FAST,2.80255,5231,FREAK,84.5647,MAT_BF,SEL_KNN,1226.22,1149,9.96439,128,11.4559,
FAST,2.90065,5286,FREAK,82.1953,MAT_BF,SEL_KNN,1224.55,1174,9.59863,111,11.6347,
FAST,2.97613,5464,FREAK,83.4881,MAT_BF,SEL_KNN,1271.5,1257,8.52157,102,9.90101,
FAST,2.91356,5464,FREAK,84.9907,MAT_BF,SEL_KNN,1352.14,1315,9.51556,113,10.614,
FAST,2.69696,5563,FREAK,83.8687,MAT_BF,SEL_KNN,1353.34,1301,9.61238,93,11.0927,
FAST,2.79676,5497,FREAK,85.6118,MAT_BF,SEL_KNN,1346.86,1334,8.3988,76,10.9713,
FAST,2.9362,5275,BRIEF,15.6122,
FAST,2.96915,5291,BRIEF,16.5699,MAT_BF,SEL_KNN,633.772,2139,12.5156,146,11.3538,
FAST,3.02804,5202,BRIEF,15.1358,MAT_BF,SEL_KNN,619.291,2122,12.6142,160,12.8595,
FAST,3.40118,5090,BRIEF,16.6949,MAT_BF,SEL_KNN,618.323,2128,14.091,158,13.0226,
FAST,2.53452,5118,BRIEF,15.4728,MAT_BF,SEL_KNN,608.431,2070,16.6894,154,12.5592,
FAST,2.85056,5180,BRIEF,15.6512,MAT_BF,SEL_KNN,610.303,2150,15.7466,140,13.3459,
FAST,2.93872,5192,BRIEF,15.7316,MAT_BF,SEL_KNN,613.349,2060,12.7834,143,13.3206,
FAST,3.58323,5177,BRIEF,24.2329,MAT_BF,SEL_KNN,591.556,2010,11.9844,150,13.2219,
FAST,3.14161,5176,BRIEF,16.601,MAT_BF,SEL_KNN,592.851,2032,13.1241,153,12.6332,
FAST,2.52668,5225,BRIEF,16.549,MAT_BF,SEL_KNN,603.824,2030,13.0241,156,13.4473,
FAST,2.67935,5331,BRIEF,16.4295,MAT_BF,SEL_KNN,622.647,2016,11.1746,162,12.9,
FAST,2.68766,5351,BRIEF,15.7677,MAT_BF,SEL_KNN,641.564,2104,12.8086,161,12.2451,
FAST,2.77052,5244,BRIEF,16.2179,MAT_BF,SEL_KNN,622.955,2161,8.95978,177,11.9536,
FAST,2.72956,5231,BRIEF,15.6576,MAT_BF,SEL_KNN,612.356,2102,9.96439,195,11.3176,
FAST,2.69164,5286,BRIEF,16.6466,MAT_BF,SEL_KNN,621.141,2211,9.59863,179,10.3028,
FAST,2.70507,5464,BRIEF,17.5719,MAT_BF,SEL_KNN,639.688,2222,8.52157,187,11.5459,
FAST,2.71028,5464,BRIEF,16.6504,MAT_BF,SEL_KNN,656.96,2278,9.51556,174,10.4194,
FAST,2.64554,5563,BRIEF,18.4127,MAT_BF,SEL_KNN,663.472,2314,9.61238,146,9.0526,
FAST,2.58356,5497,BRIEF,16.462,MAT_BF,SEL_KNN,668.35,2372,8.3988,164,11.414,
FAST,2.64868,5275,ORB,9.16201,
FAST,2.65414,5291,ORB,9.17272,MAT_BF,SEL_KNN,624.544,1792,12.5156,116,11.9559,
FAST,2.63646,5202,ORB,9.2202,MAT_BF,SEL_KNN,616.013,1794,12.6142,122,12.1902,
FAST,2.59798,5090,ORB,9.20103,MAT_BF,SEL_KNN,600.721,1777,14.091,127,15.8384,
FAST,2.61038,5118,ORB,8.67836,MAT_BF,SEL_KNN,595.923,1724,16.6894,143,11.8032,
FAST,2.60756,5180,ORB,8.966,MAT_BF,SEL_KNN,586.637,1792,15.7466,123,13.9505,
FAST,2.77409,5192,ORB,8.88177,MAT_BF,SEL_KNN,573.427,1806,12.7834,132,12.7674,
FAST,2.52577,5177,ORB,8.58226,MAT_BF,SEL_KNN,572.084,1668,11.9844,140,12.17,
FAST,2.65667,5176,ORB,8.99205,MAT_BF,SEL_KNN,566.736,1796,13.1241,152,12.2282,
FAST,2.7617,5225,ORB,9.06476,MAT_BF,SEL_KNN,580.464,1745,13.0241,153,12.5101,
FAST,2.91718,5331,ORB,8.6933,MAT_BF,SEL_KNN,594.128,1735,11.1746,156,13.0553,
FAST,2.73895,5351,ORB,9.20749,MAT_BF,SEL_KNN,610.624,1782,12.8086,144,12.012,
FAST,2.82363,5244,ORB,8.87272,MAT_BF,SEL_KNN,606.275,1828,8.95978,146,12.3317,
FAST,2.6592,5231,ORB,9.1947,MAT_BF,SEL_KNN,579.729,1759,9.96439,172,11.7672,
FAST,2.5003,5286,ORB,8.96334,MAT_BF,SEL_KNN,574.656,1815,9.59863,169,10.9512,
FAST,2.72799,5464,ORB,9.23535,MAT_BF,SEL_KNN,615.201,1910,8.52157,156,11.1626,
FAST,2.72739,5464,ORB,9.33801,MAT_BF,SEL_KNN,635.001,1986,9.51556,163,10.8587,
FAST,2.87705,5563,ORB,9.1534,MAT_BF,SEL_KNN,634.536,1974,9.61238,135,10.5924,
FAST,2.86956,5497,ORB,9.05296,MAT_BF,SEL_KNN,646.641,1996,8.3988,126,11.2246,
FAST,2.91281,5275,SIFT,377.519,
FAST,2.51042,5291,SIFT,380.364,MAT_BF,SEL_KNN,899.991,3457,12.5156,201,12.2996,
FAST,2.84502,5202,SIFT,369.857,MAT_BF,SEL_KNN,876.65,3422,12.6142,211,11.4218,
FAST,2.63937,5090,SIFT,359.384,MAT_BF,SEL_KNN,854.888,3313,14.091,212,14.7363,
FAST,2.42635,5118,SIFT,363.994,MAT_BF,SEL_KNN,858.746,3308,16.6894,204,13.409,
FAST,2.63448,5180,SIFT,365.841,MAT_BF,SEL_KNN,864.28,3376,15.7466,202,14.7398,
FAST,2.5797,5192,SIFT,372.303,MAT_BF,SEL_KNN,876.737,3412,12.7834,207,12.9957,
FAST,2.51526,5177,SIFT,368.122,MAT_BF,SEL_KNN,867.774,3330,11.9844,224,12.9542,
FAST,2.61105,5176,SIFT,394.68,MAT_BF,SEL_KNN,873.879,3343,13.1241,210,12.9986,
FAST,2.57536,5225,SIFT,371.69,MAT_BF,SEL_KNN,871.133,3357,13.0241,218,12.5097,
FAST,2.96822,5331,SIFT,377.275,MAT_BF,SEL_KNN,920.158,3394,11.1746,234,12.8364,
FAST,2.52474,5351,SIFT,382.463,MAT_BF,SEL_KNN,914.567,3337,12.8086,226,11.7541,
FAST,2.64846,5244,SIFT,380.815,MAT_BF,SEL_KNN,923.309,3389,8.95978,225,11.3432,
FAST,2.64776,5231,SIFT,375.584,MAT_BF,SEL_KNN,892.912,3356,9.96439,254,11.7596,
FAST,2.48432,5286,SIFT,375.92,MAT_BF,SEL_KNN,896.392,3477,9.59863,231,11.2818,
FAST,2.47019,5464,SIFT,383.731,MAT_BF,SEL_KNN,918.614,3543,8.52157,234,11.1687,
